Package                                  Version   Latest       Type
---------------------------------------- --------- ------------ -----
aiohttp                                  3.12.15   3.13.5       wheel
aiosqlite                                0.21.0    0.22.1       wheel
altgraph                                 0.17.4    0.17.5       wheel
anthropic                                0.84.0    0.96.0       wheel
anyio                                    4.10.0    4.13.0       wheel
asn1                                     2.8.0     3.2.0        wheel
asyncpg                                  0.30.0    0.31.0       wheel
attrs                                    25.3.0    26.1.0       wheel
beautifulsoup4                           4.13.3    4.14.3       wheel
blessed                                  1.33.0    1.38.0       wheel
cachetools                               5.5.2     7.0.6        wheel
certifi                                  2025.1.31 2026.2.25    wheel
cffi                                     1.17.1    2.0.0        wheel
charset-normalizer                       3.4.1     3.4.7        wheel
click                                    8.3.1     8.3.2        wheel
coverage                                 7.13.4    7.13.5       wheel
cryptography                             45.0.6    46.0.7       wheel
deepseek-cli                             0.3.0     0.6.0        wheel
discord.py                               2.5.2     2.7.1        wheel
docstring_parser                         0.17.0    0.18.0       wheel
ecdsa                                    0.19.1    0.19.2       wheel
fastapi                                  0.116.1   0.136.0      wheel
filelock                                 3.19.1    3.29.0       wheel
fire                                     0.7.0     0.7.1        wheel
Flask                                    3.1.0     3.1.3        wheel
flask-cors                               5.0.1     6.0.2        wheel
frozenlist                               1.7.0     1.8.0        wheel
fsspec                                   2025.7.0  2026.3.0     wheel
google-ai-generativelanguage             0.6.15    0.11.0       wheel
google-api-core                          2.25.1    2.30.3       wheel
google-api-python-client                 2.174.0   2.194.0      wheel
google-auth                              2.40.3    2.49.2       wheel
google-auth-httplib2                     0.2.0     0.3.1        wheel
google-auth-oauthlib                     1.2.2     1.3.1        wheel
googleapis-common-protos                 1.70.0    1.74.0       wheel
grpcio                                   1.78.1    1.80.0       wheel
grpcio-status                            1.71.2    1.80.0       wheel
httplib2                                 0.22.0    0.31.2       wheel
httptools                                0.6.4     0.7.1        wheel
huggingface-hub                          0.34.4    1.11.0       wheel
idna                                     3.10      3.11         wheel
importlib_metadata                       8.7.0     9.0.0        wheel
ipsw-parser                              1.5.0     1.6.0        wheel
ipython                                  9.11.0    9.12.0       wheel
jinxed                                   1.3.0     1.4.0        wheel
jiter                                    0.10.0    0.14.0       wheel
jsonschema                               4.25.0    4.26.0       wheel
jsonschema-specifications                2025.4.1  2025.9.1     wheel
llama_api_client                         0.2.0     0.6.0        wheel
llama_stack                              0.2.17    0.7.1        wheel
llama_stack_client                       0.2.17    0.7.2        wheel
MarkupSafe                               3.0.2     3.0.3        wheel
multidict                                6.6.3     6.7.1        wheel
numpy                                    2.3.2     2.4.4        wheel
oauthlib                                 3.2.2     3.3.1        wheel
openai                                   1.99.9    2.32.0       wheel
opentelemetry-api                        1.36.0    1.41.0       wheel
opentelemetry-exporter-otlp-proto-common 1.36.0    1.41.0       wheel
opentelemetry-exporter-otlp-proto-http   1.36.0    1.41.0       wheel
opentelemetry-proto                      1.36.0    1.41.0       wheel
opentelemetry-sdk                        1.36.0    1.41.0       wheel
packaging                                25.0      26.1         wheel
pandas                                   2.3.1     3.0.2        wheel
pefile                                   2023.2.7  2024.8.26    wheel
pillow                                   11.3.0    12.2.0       wheel
prawcore                                 2.4.0     3.0.2        wheel
prompt_toolkit                           3.0.51    3.0.52       wheel
propcache                                0.3.2     0.4.1        wheel
proto-plus                               1.26.1    1.27.2       wheel
protobuf                                 5.29.6    7.34.1       wheel
pyaml                                    25.7.0    26.2.1       wheel
pyasn1                                   0.6.1     0.6.3        wheel
pycparser                                2.22      3.0          wheel
pycrashreport                            1.2.7     2.0.0        wheel
pydantic                                 2.11.7    2.13.3       wheel
pydantic_core                            2.33.2    2.46.3       wheel
Pygments                                 2.19.2    2.20.0       wheel
pyinstaller                              6.16.0    6.19.0       wheel
pyinstaller-hooks-contrib                2025.8    2026.4       wheel
pylzss                                   0.3.4     0.3.8        sdist
pymobiledevice3                          9.3.0     9.10.1       wheel
pyparsing                                3.2.3     3.3.2        wheel
pytest                                   9.0.2     9.0.3        wheel
pytest-cov                               7.0.0     7.1.0        wheel
python-dotenv                            1.1.1     1.2.2        wheel
python-multipart                         0.0.20    0.0.26       wheel
pytz                                     2025.2    2026.1.post1 wheel
PyYAML                                   6.0.2     6.0.3        wheel
qh3                                      1.6.0     1.7.2        wheel
readchar                                 4.2.1     4.2.2        wheel
referencing                              0.36.2    0.37.0       wheel
regex                                    2025.7.34 2026.4.4     wheel
requests                                 2.32.3    2.33.1       wheel
rich                                     14.1.0    15.0.0       wheel
rpds-py                                  0.27.0    0.30.0       wheel
ruff                                     0.15.1    0.15.11      wheel
safety-schemas                           0.0.16    0.0.18       wheel
setuptools                               80.9.0    82.0.1       wheel
soupsieve                                2.6       2.8.3        wheel
starlette                                0.47.2    1.0.0        wheel
termcolor                                3.1.0     3.3.0        wheel
tiktoken                                 0.11.0    0.12.0       wheel
tqdm                                     4.67.1    4.67.3       wheel
tweepy                                   4.15.0    4.16.0       wheel
typing_extensions                        4.12.2    4.15.0       wheel
typing-inspection                        0.4.1     0.4.2        wheel
tzdata                                   2025.2    2026.1       wheel
urllib3                                  2.3.0     2.6.3        wheel
uvicorn                                  0.35.0    0.44.0       wheel
watchfiles                               1.1.0     1.1.1        wheel
websocket-client                         1.8.0     1.9.0        wheel
websockets                               15.0.1    16.0         wheel
Werkzeug                                 3.1.3     3.1.8        wheel
xai-sdk                                  1.7.0     1.11.0       wheel
xonsh                                    0.22.7    0.23.0       wheel
yarl                                     1.20.1    1.23.0       wheel
zipp                                     3.23.0    3.23.1       wheel
